"Part";"Value";"Device";"Package";"Description";"";
"BUTTON";"";"AKL59-03";"3POL35";"RIA Anschlussklemme Typ 59, Raster 3,5 mm, Polzahl 3";"";
"C1";"100nF";"CAPACITOR_1206";"C1206K";"";"";
"C2";"470uF/6,3";"CPOL-EU153CLV-0605";"153CLV-0605";"POLARIZED CAPACITOR, European symbol";"";
"C3";"100nF";"CAPACITOR_1206";"C1206K";"";"";
"C4";"1000uF/6,3V";"CPOL-EUF";"PANASONIC_F";"POLARIZED CAPACITOR, European symbol";"";
"C5";"100nF";"CAPACITOR_1206";"C1206K";"";"";
"C6";"100nF";"CAPACITOR_1206";"C1206K";"";"";
"C7";"100nF";"CAPACITOR_1206";"C1206K";"";"";
"C8";"100nF";"CAPACITOR_1206";"C1206K";"";"";
"CFG";"DTSM-3";"DTSM-3";"DTSM-3";"";"";
"D1";"1n4148";"D-SOD-80";"SOD80";"DIODE";"";
"D2";"1n4148";"D-SOD-80";"SOD80";"DIODE";"";
"IC1";"REG1117_3V3";"REG1117_3V3";"SOT223";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";
"K1";"ZNS5";"ZNS5";"ZN5";"";"";
"K2";"ZNS5";"ZNS5";"ZN5";"";"";
"LDR";"PINHD-2X1_2.54";"PINHD-1X2";"1X02";"PIN HEADER";"";
"LED1";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";
"M1";"WX-DC12003";"WX-DC12003";"WX-DC12003";"";"";
"OUT1";"";"AK500/3";"AK500/3";"CONNECTOR";"";
"OUT3";"";"AK500/3";"AK500/3";"CONNECTOR";"";
"R0";"68R";"RESITOR";"R1206";"";"";
"R1";"4k7";"RESITOR";"R1206";"";"";
"R2";"4k7";"RESITOR";"R1206";"";"";
"R3";"4k7";"RESITOR";"R1206";"";"";
"R4";"4k7";"RESITOR";"R1206";"";"";
"R5";"1k";"RESITOR";"R1206";"";"";
"R6";"4k7";"RESITOR";"R1206";"";"";
"R7";"4k7";"RESITOR";"R1206";"";"";
"R8";"4k7";"RESITOR";"R1206";"";"";
"R9";"4k7";"RESITOR";"R1206";"";"";
"R10";"4k7";"RESITOR";"R1206";"";"";
"R11";"4k7";"RESITOR";"R1206";"";"";
"R12";"4k7";"RESITOR";"R1206";"";"";
"R13";"4k7";"RESITOR";"R1206";"";"";
"R14";"4k7";"RESITOR";"R1206";"";"";
"R15";"4k7";"RESITOR";"R1206";"";"";
"SENSOR";"";"AKL59-03";"3POL35";"RIA Anschlussklemme Typ 59, Raster 3,5 mm, Polzahl 3";"";
"SV1";"";"MA03-22X3";"2X03";"PIN HEADER";"";
"T1";"BC817";"BC817-25SMD";"SOT23-BEC";"NPN Transistor";"";
"T2";"BC817";"BC817-25SMD";"SOT23-BEC";"NPN Transistor";"";
"TEMP.";"";"PINHD-1X3";"1X03";"PIN HEADER";"";
"U3";"ESP01-M_ESP";"ESP01-M_ESP";"ESP01-M_ESP01-M-EDGE";"";"";
"~230V";"";"AK500/2";"AK500/2";"CONNECTOR";"";
